timestamp,session_id,workspace,session_title,execution_id,model,status,input_tokens,output_tokens,total_tokens,credits,aggregate_current_usage,aggregate_usage_limit
2026-09-03 19:09:30.116,sess_e3fadbf0-3fc7-4972-9655-dba7241fc503,,,,,,,,,,0.15,50
2026-09-03 19:09:30.117,sess_e3fadbf0-3fc7-4972-9655-dba7241fc503,,,,,,,,,,0.15,50
2026-09-03 19:09:30.128,sess_e3fadbf0-3fc7-4972-9655-dba7241fc503,,,,,,,,,,0.15,50
2026-09-03 19:09:29.681,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-09-03 19:09:29.682,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-09-03 15:55:12.635,sess_e3fadbf0-3fc7-4972-9655-dba7241fc503,,,,,,,,,,0.15,50
2026-09-03 19:09:30.103,sess_f60f2db2-297e-4438-afd2-a4214f48ed43,,,,,,,,,,0.15,50
2026-09-03 19:09:30.123,sess_f60f2db2-297e-4438-afd2-a4214f48ed43,,,,,,,,,,0.15,50
2026-09-03 19:09:30.125,sess_f60f2db2-297e-4438-afd2-a4214f48ed43,,,,,,,,,,0.15,50
2026-08-31 16:14:21.570,sess_f60f2db2-297e-4438-afd2-a4214f48ed43,,,,,,,,,,0.15,50
2026-08-31 16:14:22.012,sess_f60f2db2-297e-4438-afd2-a4214f48ed43,,,,,,,,,,0.15,50
2026-08-31 19:16:45.054,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-31 19:16:45.055,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-28 19:00:58.384,sess_e9c3e8c2-0fe4-4fcd-b350-eaaf139051fd,,,,,,,,,,0.15,50
2026-08-28 19:00:58.385,sess_e9c3e8c2-0fe4-4fcd-b350-eaaf139051fd,,,,,,,,,,0.15,50
2026-08-28 19:00:58.386,sess_e9c3e8c2-0fe4-4fcd-b350-eaaf139051fd,,,,,,,,,,0.15,50
2026-08-28 19:00:58.351,sess_f318f5ba-4534-4655-82a9-91f3da804ebf,,,,,,,,,,0.15,50
2026-08-27 16:59:12.385,sess_e9c3e8c2-0fe4-4fcd-b350-eaaf139051fd,,,,,,,,,,0.15,50
2026-08-28 12:10:53.573,sess_e9c3e8c2-0fe4-4fcd-b350-eaaf139051fd,,,,,,,,,,0.15,50
